subject,problem_type,learning_block,compression_score
02,1,1,0.625
03,1,1,0.625
04,1,1,0.53125
05,1,1,0.8125
06,1,1,0.78125
07,1,1,0.53125
08,1,1,0.5625
10,1,1,0.59375
11,1,1,0.59375
12,1,1,0.65625
13,1,1,0.53125
14,1,1,0.625
15,1,1,0.71875
16,1,1,0.5625
17,1,1,0.5625
18,1,1,0.5625
19,1,1,0.59375
20,1,1,0.71875
21,1,1,0.75
22,1,1,0.5625
23,1,1,0.53125
24,1,1,0.59375
02,2,1,0.65625
03,2,1,0.5625
04,2,1,0.5625
05,2,1,0.53125
06,2,1,0.59375
07,2,1,0.6875
08,2,1,0.71875
10,2,1,0.5625
11,2,1,0.53125
12,2,1,0.59375
13,2,1,0.65625
14,2,1,0.59375
15,2,1,0.5625
16,2,1,0.78125
17,2,1,0.6875
18,2,1,0.53125
19,2,1,0.5625
20,2,1,0.5625
21,2,1,0.65625
22,2,1,0.8125
23,2,1,0.625
24,2,1,0.65625
02,6,1,0.625
03,6,1,0.65625
04,6,1,0.6875
05,6,1,0.5625
06,6,1,0.625
07,6,1,0.59375
08,6,1,0.8125
10,6,1,0.75
11,6,1,0.5625
12,6,1,0.5625
13,6,1,0.59375
14,6,1,0.59375
15,6,1,0.78125
16,6,1,0.59375
17,6,1,0.75
18,6,1,0.6875
19,6,1,0.5625
20,6,1,0.5625
21,6,1,0.46875
22,6,1,0.65625
23,6,1,0.5625
24,6,1,0.5625
02,1,2,0.625
03,1,2,0.625
04,1,2,0.53125
05,1,2,0.84375
06,1,2,0.71875
07,1,2,0.5625
08,1,2,0.5625
10,1,2,0.59375
11,1,2,0.6875
12,1,2,0.71875
13,1,2,0.59375
14,1,2,0.59375
15,1,2,0.78125
16,1,2,0.65625
17,1,2,0.53125
18,1,2,0.5625
19,1,2,0.5625
20,1,2,0.6875
21,1,2,0.65625
22,1,2,0.5625
23,1,2,0.5
24,1,2,0.5625
02,2,2,0.71875
03,2,2,0.65625
04,2,2,0.5625
05,2,2,0.5625
06,2,2,0.59375
07,2,2,0.71875
08,2,2,0.6875
10,2,2,0.5625
11,2,2,0.53125
12,2,2,0.59375
13,2,2,0.65625
14,2,2,0.59375
15,2,2,0.5625
16,2,2,0.84375
17,2,2,0.71875
18,2,2,0.53125
19,2,2,0.5625
20,2,2,0.59375
21,2,2,0.59375
22,2,2,0.71875
23,2,2,0.625
24,2,2,0.59375
02,6,2,0.65625
03,6,2,0.65625
04,6,2,0.65625
05,6,2,0.65625
06,6,2,0.59375
07,6,2,0.5625
08,6,2,0.71875
10,6,2,0.71875
11,6,2,0.5625
12,6,2,0.5
13,6,2,0.5625
14,6,2,0.53125
15,6,2,0.75
16,6,2,0.53125
17,6,2,0.6875
18,6,2,0.6875
19,6,2,0.5625
20,6,2,0.53125
21,6,2,0.53125
22,6,2,0.5625
23,6,2,0.53125
24,6,2,0.59375
02,1,3,0.625
03,1,3,0.65625
04,1,3,0.5625
05,1,3,0.84375
06,1,3,0.71875
07,1,3,0.5625
08,1,3,0.5625
10,1,3,0.5625
11,1,3,0.59375
12,1,3,0.78125
13,1,3,0.5625
14,1,3,0.625
15,1,3,0.78125
16,1,3,0.625
17,1,3,0.53125
18,1,3,0.59375
19,1,3,0.65625
20,1,3,0.6875
21,1,3,0.65625
22,1,3,0.625
23,1,3,0.53125
24,1,3,0.5625
02,2,3,0.6875
03,2,3,0.65625
04,2,3,0.5625
05,2,3,0.5
06,2,3,0.5625
07,2,3,0.71875
08,2,3,0.6875
10,2,3,0.5625
11,2,3,0.53125
12,2,3,0.53125
13,2,3,0.5625
14,2,3,0.59375
15,2,3,0.5625
16,2,3,0.84375
17,2,3,0.75
18,2,3,0.5625
19,2,3,0.59375
20,2,3,0.59375
21,2,3,0.625
22,2,3,0.65625
23,2,3,0.625
24,2,3,0.625
02,6,3,0.53125
03,6,3,0.65625
04,6,3,0.625
05,6,3,0.59375
06,6,3,0.59375
07,6,3,0.53125
08,6,3,0.75
10,6,3,0.6875
11,6,3,0.53125
12,6,3,0.5625
13,6,3,0.53125
14,6,3,0.53125
15,6,3,0.78125
16,6,3,0.59375
17,6,3,0.6875
18,6,3,0.75
19,6,3,0.59375
20,6,3,0.53125
21,6,3,0.4375
22,6,3,0.59375
23,6,3,0.59375
24,6,3,0.65625
02,1,4,0.65625
03,1,4,0.59375
04,1,4,0.59375
05,1,4,0.84375
06,1,4,0.78125
07,1,4,0.65625
08,1,4,0.5625
10,1,4,0.625
11,1,4,0.65625
12,1,4,0.75
13,1,4,0.625
14,1,4,0.6875
15,1,4,0.75
16,1,4,0.59375
17,1,4,0.5625
18,1,4,0.5625
19,1,4,0.59375
20,1,4,0.65625
21,1,4,0.6875
22,1,4,0.53125
23,1,4,0.5
24,1,4,0.625
02,2,4,0.6875
03,2,4,0.65625
04,2,4,0.53125
05,2,4,0.5625
06,2,4,0.59375
07,2,4,0.6875
08,2,4,0.71875
10,2,4,0.625
11,2,4,0.53125
12,2,4,0.5625
13,2,4,0.5625
14,2,4,0.65625
15,2,4,0.5
16,2,4,0.78125
17,2,4,0.75
18,2,4,0.59375
19,2,4,0.59375
20,2,4,0.625
21,2,4,0.65625
22,2,4,0.78125
23,2,4,0.59375
24,2,4,0.59375
02,6,4,0.59375
03,6,4,0.71875
04,6,4,0.6875
05,6,4,0.5625
06,6,4,0.65625
07,6,4,0.59375
08,6,4,0.78125
10,6,4,0.75
11,6,4,0.53125
12,6,4,0.53125
13,6,4,0.5625
14,6,4,0.59375
15,6,4,0.71875
16,6,4,0.625
17,6,4,0.6875
18,6,4,0.65625
19,6,4,0.5625
20,6,4,0.65625
21,6,4,0.5
22,6,4,0.5625
23,6,4,0.5625
24,6,4,0.53125
